排名,游戏名称,Steam_ID,估算销量,好评数,总评论数,好评率,股价
1,Wallpaper Engine：壁纸引擎,431960,24854280,812369,828476,98.1%,$7.25
2,黑神话：悟空,2358720,25045110,805929,834837,96.5%,$7.14
3,巫师 3：狂猎,292030,22869870,738097,762329,96.8%,$7.13
4,Counter-Strike 2,730,135815130,3901179,4527171,86.2%,$7.01
5,Lethal Company,1966720,11781630,381820,392721,97.2%,$6.87
6,艾尔登法环,1245620,22962510,711804,765417,93.0%,$6.85
7,Grand Theft Auto V 传承版,271590,54570750,1596430,1819025,87.8%,$6.79
8,Red Dead Redemption 2,1174180,20234550,622352,674485,92.3%,$6.74
9,Titanfall® 2,1237970,6800010,216341,226667,95.4%,$6.52
10,赛博朋克 2077,1091500,22461690,640413,748723,85.5%,$6.29
11,Ready or Not,1144200,5548410,165669,184947,89.6%,$6.04
12,No Man's Sky 无人深空,275850,7980840,216765,266028,81.5%,$5.62
13,永劫无间,1203220,4910760,119556,163692,73.0%,$4.89
14,Dota 2,570,430470,12204,14349,85.1%,$4.79
15,Team Fortress 2,440,1275660,33032,42522,77.7%,$4.74
16,Helltaker,1289310,11940,394,398,99.0%,$4.04
17,使命召唤®,1938090,11632230,215641,387741,55.6%,$3.93
18,Apex Legends™,1172470,46470,1167,1549,75.3%,$3.52
